Concurso,Data,Jogo vencedor,dezenas,soma_total,pares,impares,centro,moldura,linhas,colunas,quadrantes,repeticao_anterior,consecutivas,distancia_perfil_medio_v3,maiores_desvios_vs_perfil_medio,linha_1,linha_2,linha_3,linha_4,linha_5,coluna_1,coluna_2,coluna_3,coluna_4,coluna_5,quadrante_1,quadrante_2,quadrante_3,quadrante_4,soma_bin,freq_curta_bin,freq_20_bin,freq_longa_bin
36,31/05/2004,01 - 04 - 05 - 07 - 08 - 10 - 11 - 14 - 17 - 19 - 20 - 21 - 22 - 23 - 24,01 04 05 07 08 10 11 14 17 19 20 21 22 23 24,206,7,8,5,10,3-3-2-3-4,3-3-2-4-3,3-3-5-4,10,8,2.3051,"linha_3: 2 (abaixo da media 3.25, z=-1.32) | linha_5: 4 (acima da media 3.09, z=0.94) | coluna_3: 2 (abaixo da media 2.85, z=-0.86) | coluna_4: 4 (acima da media 3.17, z=0.86) | soma_total: 206 (acima da media 196.35, z=0.57)",3,3,2,3,4,3,3,2,4,3,3,3,5,4,200-209,50-54,200-209,300-399
378,24/11/2008,02 - 03 - 04 - 06 - 12 - 13 - 14 - 15 - 16 - 19 - 21 - 22 - 23 - 24 - 25,02 03 04 06 12 13 14 15 16 19 21 22 23 24 25,219,8,7,4,11,3-1-4-2-5,3-3-3-4-2,3-1-6-5,8,10,5.0148,"linha_5: 5 (acima da media 3.09, z=1.97) | repeticao_anterior: 8 (abaixo da media 10.18, z=-1.84) | quadrante_2: 1 (abaixo da media 2.58, z=-1.81) | linha_2: 1 (abaixo da media 2.62, z=-1.59) | consecutivas: 10 (acima da media 8.38, z=1.33)",3,1,4,2,5,3,3,3,4,2,3,1,6,5,210-219,45-49,180-189,3400-3499
862,30/01/2013,01 - 02 - 03 - 04 - 05 - 10 - 13 - 14 - 15 - 17 - 18 - 19 - 20 - 23 - 24,01 02 03 04 05 10 13 14 15 17 18 19 20 23 24,188,7,8,5,10,5-1-3-4-2,1-2-4-4-4,3-3-4-5,10,10,4.5369,"linha_1: 5 (acima da media 3.19, z=1.87) | coluna_1: 1 (abaixo da media 2.76, z=-1.85) | linha_2: 1 (abaixo da media 2.62, z=-1.59) | consecutivas: 10 (acima da media 8.38, z=1.33) | linha_4: 4 (acima da media 2.84, z=1.21)",5,1,3,4,2,1,2,4,4,4,3,3,4,5,180-189,45-49,190-199,7700-7799
915,07/06/2013,01 - 02 - 04 - 05 - 06 - 08 - 10 - 11 - 13 - 18 - 20 - 22 - 23 - 24 - 25,01 02 04 05 06 08 10 11 13 18 20 22 23 24 25,192,9,6,3,12,4-3-2-2-4,3-2-4-2-4,4-3-5-3,11,7,4.8421,"moldura: 12 (acima da media 9.87, z=1.83) | centro: 3 (abaixo da media 5.13, z=-1.83) | pares: 9 (acima da media 7.12, z=1.55) | impares: 6 (abaixo da media 7.88, z=-1.55) | linha_3: 2 (abaixo da media 3.25, z=-1.32)",4,3,2,2,4,3,2,4,2,4,4,3,5,3,190-199,45-49,190-199,8200-8299
1306,04/01/2016,01 - 02 - 05 - 06 - 07 - 09 - 12 - 13 - 14 - 15 - 18 - 19 - 20 - 22 - 23,01 02 05 06 07 09 12 13 14 15 18 19 20 22 23,186,7,8,7,8,3-3-4-3-2,2-4-3-3-3,4-2-5-4,9,9,3.4449,"moldura: 8 (abaixo da media 9.87, z=-1.60) | centro: 7 (acima da media 5.13, z=1.60) | linha_5: 2 (abaixo da media 3.09, z=-1.13) | coluna_2: 4 (acima da media 2.94, z=1.10) | repeticao_anterior: 9 (abaixo da media 10.18, z=-1.00)",3,3,4,3,2,2,4,3,3,3,4,2,5,4,180-189,45-49,180-189,11700-11799
1311,15/01/2016,02 - 03 - 05 - 06 - 08 - 10 - 11 - 12 - 14 - 15 - 17 - 18 - 20 - 23 - 25,02 03 05 06 08 10 11 12 14 15 17 18 20 23 25,189,8,7,5,10,3-3-4-3-2,2-3-4-1-5,4-2-5-4,10,6,4.282,"coluna_4: 1 (abaixo da media 3.17, z=-2.22) | consecutivas: 6 (abaixo da media 8.38, z=-1.97) | coluna_5: 5 (acima da media 3.29, z=1.76) | coluna_3: 4 (acima da media 2.85, z=1.17) | linha_5: 2 (abaixo da media 3.09, z=-1.13)",3,3,4,3,2,2,3,4,1,5,4,2,5,4,180-189,45-49,190-199,11700-11799
1335,14/03/2016,01 - 03 - 04 - 06 - 07 - 09 - 10 - 11 - 13 - 16 - 17 - 18 - 23 - 24 - 25,01 03 04 06 07 09 10 11 13 16 17 18 23 24 25,187,6,9,5,10,3-4-2-3-3,4-2-4-3-2,4-3-6-2,11,8,4.0563,"quadrante_4: 2 (abaixo da media 3.87, z=-1.82) | linha_2: 4 (acima da media 2.62, z=1.35) | coluna_5: 2 (abaixo da media 3.29, z=-1.32) | linha_3: 2 (abaixo da media 3.25, z=-1.32) | coluna_1: 4 (acima da media 2.76, z=1.30)",3,4,2,3,3,4,2,4,3,2,4,3,6,2,180-189,45-49,190-199,12000-12099
1369,01/06/2016,03 - 04 - 05 - 09 - 10 - 11 - 12 - 13 - 14 - 16 - 17 - 18 - 21 - 22 - 24,03 04 05 09 10 11 12 13 14 16 17 18 21 22 24,199,8,7,6,9,3-2-4-3-3,3-3-3-4-2,1-4-8-2,9,10,4.8993,"quadrante_3: 8 (acima da media 5.31, z=2.25) | quadrante_1: 1 (abaixo da media 3.24, z=-2.09) | quadrante_4: 2 (abaixo da media 3.87, z=-1.82) | quadrante_2: 4 (acima da media 2.58, z=1.63) | consecutivas: 10 (acima da media 8.38, z=1.33)",3,2,4,3,3,3,3,3,4,2,1,4,8,2,190-199,45-49,180-189,12300-12399
1382,01/07/2016,01 - 06 - 10 - 12 - 13 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 22 - 24,01 06 10 12 13 14 15 16 17 18 19 20 21 22 24,228,9,6,6,9,1-2-4-5-3,4-3-2-3-3,2-1-7-5,11,10,5.7655,"linha_1: 1 (abaixo da media 3.19, z=-2.27) | linha_4: 5 (acima da media 2.84, z=2.26) | soma_total: 228 (acima da media 196.35, z=1.86) | quadrante_2: 1 (abaixo da media 2.58, z=-1.81) | pares: 9 (acima da media 7.12, z=1.55)",1,2,4,5,3,4,3,2,3,3,2,1,7,5,220-229,50-54,190-199,12400-12499
1639,21/03/2018,01 - 03 - 05 - 06 - 07 - 08 - 09 - 10 - 11 - 14 - 15 - 19 - 20 - 22 - 25,01 03 05 06 07 08 09 10 11 14 15 19 20 22 25,175,6,9,5,10,3-5-3-2-2,3-2-2-3-5,5-3-2-5,11,8,5.308,"quadrante_3: 2 (abaixo da media 5.31, z=-2.77) | linha_2: 5 (acima da media 2.62, z=2.33) | coluna_5: 5 (acima da media 3.29, z=1.76) | quadrante_1: 5 (acima da media 3.24, z=1.65) | soma_total: 175 (abaixo da media 196.35, z=-1.25)",3,5,3,2,2,3,2,2,3,5,5,3,2,5,170-179,50-54,180-189,14700-14799
1920,24/01/2020,02 - 04 - 06 - 09 - 10 - 11 - 12 - 13 - 14 - 17 - 18 - 20 - 21 - 22 - 25,02 04 06 09 10 11 12 13 14 17 18 20 21 22 25,204,9,6,6,9,2-3-4-3-3,3-4-2-3-3,2-3-7-3,8,8,4.2827,"repeticao_anterior: 8 (abaixo da media 10.18, z=-1.84) | pares: 9 (acima da media 7.12, z=1.55) | impares: 6 (abaixo da media 7.88, z=-1.55) | quadrante_3: 7 (acima da media 5.31, z=1.41) | linha_1: 2 (abaixo da media 3.19, z=-1.24)",2,3,4,3,3,3,4,2,3,3,2,3,7,3,200-209,45-49,180-189,17300-17399
1951,08/04/2020,03 - 04 - 06 - 09 - 10 - 11 - 12 - 13 - 16 - 18 - 19 - 20 - 22 - 23 - 25,03 04 06 09 10 11 12 13 16 18 19 20 22 23 25,211,8,7,5,10,2-3-3-4-3,3-2-4-3-3,2-3-7-3,12,8,3.7821,"repeticao_anterior: 12 (acima da media 10.18, z=1.54) | quadrante_3: 7 (acima da media 5.31, z=1.41) | linha_1: 2 (abaixo da media 3.19, z=-1.24) | linha_4: 4 (acima da media 2.84, z=1.21) | coluna_3: 4 (acima da media 2.85, z=1.17)",2,3,3,4,3,3,2,4,3,3,2,3,7,3,210-219,50-54,190-199,17500-17599
2059,17/10/2020,01 - 04 - 05 - 10 - 12 - 14 - 15 - 16 - 17 - 18 - 19 - 20 - 21 - 23 - 25,01 04 05 10 12 14 15 16 17 18 19 20 21 23 25,220,7,8,5,10,3-1-3-5-3,3-2-2-3-5,1-3-6-5,10,8,4.5673,"linha_4: 5 (acima da media 2.84, z=2.26) | quadrante_1: 1 (abaixo da media 3.24, z=-2.09) | coluna_5: 5 (acima da media 3.29, z=1.76) | linha_2: 1 (abaixo da media 2.62, z=-1.59) | soma_total: 220 (acima da media 196.35, z=1.39)",3,1,3,5,3,3,2,2,3,5,1,3,6,5,220-229,50-54,180-189,18500-18599
2887,11/08/2023,01 - 02 - 03 - 07 - 09 - 10 - 11 - 12 - 17 - 18 - 19 - 20 - 21 - 22 - 24,01 02 03 07 09 10 11 12 17 18 19 20 21 22 24,196,7,8,6,9,3-3-2-4-3,3-5-2-3-2,4-2-6-3,7,10,4.7608,"repeticao_anterior: 7 (abaixo da media 10.18, z=-2.69) | coluna_2: 5 (acima da media 2.94, z=2.13) | consecutivas: 10 (acima da media 8.38, z=1.33) | coluna_5: 2 (abaixo da media 3.29, z=-1.32) | linha_3: 2 (abaixo da media 3.25, z=-1.32)",3,3,2,4,3,3,5,2,3,2,4,2,6,3,190-199,50-54,180-189,26000-26099
3195,14/09/2024,01 - 02 - 03 - 04 - 05 - 09 - 11 - 13 - 18 - 19 - 20 - 21 - 23 - 24 - 25,01 02 03 04 05 09 11 13 18 19 20 21 23 24 25,198,5,10,4,11,5-1-2-3-4,3-1-4-4-3,3-3-5-4,10,9,4.8589,"coluna_2: 1 (abaixo da media 2.94, z=-2.00) | linha_1: 5 (acima da media 3.19, z=1.87) | pares: 5 (abaixo da media 7.12, z=-1.75) | impares: 10 (acima da media 7.88, z=1.75) | linha_2: 1 (abaixo da media 2.62, z=-1.59)",5,1,2,3,4,3,1,4,4,3,3,3,5,4,190-199,50-54,180-189,28900-28999
